,ingredient,class,reason,int_label,prompt
2344,turmeric,not harmful,"Turmeric is a commonly used spice that has been shown to have various health benefits, including anti-inflammatory and antioxidant properties. It is generally considered safe for consumption in culinary amounts and has been used in traditional medicine for centuries.",2,"Ingredient: turmeric
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2345,ume plum vinegar,not harmful,"Ume plum vinegar is made from pickled Japanese plums and has potential health benefits such as aiding digestion, promoting gut health, and providing antioxidants. It is considered a healthy condiment when consumed in moderation.",2,"Ingredient: ume plum vinegar
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2346,vegetable broth,not harmful,"Vegetable broth is typically made by simmering vegetables in water, making it a nutritious and healthy option that is rich in vitamins and minerals. It is low in calories and can be a good source of hydration.",2,"Ingredient: vegetable broth
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2347,vinegar,not harmful,Vinegar is generally considered safe for human consumption and has even been associated with some health benefits such as aiding in digestion and lowering blood sugar levels. It is commonly used in cooking and food preservation with a long history of safe use.,2,"Ingredient: vinegar
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2348,"vinegar, dried",not harmful,"Vinegar is considered safe for human consumption and has been linked to some health benefits, such as aiding digestion and potentially lowering blood sugar levels.",2,"Ingredient: vinegar, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2349,wasabi,not harmful,"Wasabi is a plant known for its spicy flavor and is commonly used in Japanese cuisine. It is not considered harmful to human health and may even have some potential health benefits, such as anti-inflammatory and antimicrobial properties.",2,"Ingredient: wasabi
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2350,"wasabi, dried",not harmful,"Wasabi, whether fresh or dried, is a natural ingredient with potential health benefits. It contains compounds that have antioxidant and anti-inflammatory properties, making it a healthy addition to the diet when consumed in moderation.",2,"Ingredient: wasabi, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2351,white pepper,not harmful,White pepper is not known to have harmful effects on human health. It is commonly used as a seasoning in various cuisines and is generally considered safe for consumption.,2,"Ingredient: white pepper
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2352,white tea,not harmful,"White tea is minimally processed and contains antioxidants that can benefit human health, such as helping to reduce the risk of chronic diseases and promoting overall well-being.",2,"Ingredient: white tea
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2353,winter savory,not harmful,Winter savory is a herb commonly used in cooking and has been traditionally used for its flavor and medicinal properties. There is no significant evidence to suggest that winter savory is harmful to human health when consumed in normal amounts.,2,"Ingredient: winter savory
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2354,wintergreen,harmful,"Wintergreen contains methyl salicylate, which can be toxic if ingested in large amounts and may cause serious side effects such as dizziness, stomach pain, and even organ damage. It should be used with caution and kept out of reach of children.",1,"Ingredient: wintergreen
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2355,worcestershire sauce,controversial,"While Worcestershire sauce contains ingredients that could be considered unhealthy, such as high sodium and preservatives, it is typically used in small amounts which may not pose significant health risks. However, some individuals may need to limit their intake due to specific health conditions or dietary preferences.",0,"Ingredient: worcestershire sauce
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2356,yerba mate leaf,controversial,"Yerba mate leaf contains caffeine, which can have both positive and negative health effects. Some studies suggest it may have beneficial effects on metabolism and focus, while excessive consumption may lead to issues like anxiety and sleep disturbances. Further research is needed to draw more definitive conclusions.",0,"Ingredient: yerba mate leaf
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2357,aloe vera,not harmful,"Aloe vera is generally considered safe and has various health benefits such as aiding in digestion, skin health, and wound healing. However, allergic reactions can occur in some individuals, so caution is advised.",2,"Ingredient: aloe vera
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2358,aloe vera juice,controversial,"There are conflicting studies on the health benefits and potential risks of aloe vera juice. Some studies suggest beneficial effects on digestion, skin health, and inflammation, while others have raised concerns about potential risks such as diarrhea, electrolyte imbalances, and possible carcinogenic properties.",0,"Ingredient: aloe vera juice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2359,aloe vera puree,not harmful,Aloe vera puree is generally considered safe for consumption and is even known to have potential health benefits such as promoting digestion and providing antioxidants.,2,"Ingredient: aloe vera puree
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2360,"aloe vera, dried",not harmful,"Dried aloe vera is generally considered safe for consumption and has potential health benefits such as aiding digestion and providing antioxidants. However, excessive intake may cause laxative effects in some individuals.",2,"Ingredient: aloe vera, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2361,arrowroot flour,not harmful,"Arrowroot flour is a gluten-free, easily digestible starch that is often used as a thickening agent in cooking and baking. It is a nutritious alternative to traditional cornstarch and can be part of a balanced diet.",2,"Ingredient: arrowroot flour
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2362,artichoke,not harmful,"Artichokes are a nutritious vegetable that are low in calories and high in fiber, vitamins, and antioxidants. They are generally considered beneficial for human health and are a part of a healthy diet.",2,"Ingredient: artichoke
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2363,"artichoke, dried",not harmful,"Dried artichokes are a good source of fiber, antioxidants, and vitamins such as vitamin C and K. They can be part of a healthy diet and provide various health benefits.",2,"Ingredient: artichoke, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2364,"artichoke, roasted",not harmful,"Roasted artichokes are a healthy vegetable choice, providing essential nutrients like fiber, antioxidants, and vitamins. Roasting may reduce some water-soluble vitamins, but overall, artichokes are beneficial for human health.",2,"Ingredient: artichoke, roasted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2365,asparagus,not harmful,"Asparagus is a nutritious vegetable that is low in calories and high in vitamins, minerals, and antioxidants. It is a healthy addition to a balanced diet and has been associated with various health benefits, such as improved digestive health and weight loss.",2,"Ingredient: asparagus
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2366,bamboo shoot,not harmful,"Bamboo shoots are low in calories and fat, and they are a good source of fiber, vitamins, and minerals. They can be a healthy addition to a balanced diet, with potential benefits for digestion and weight management.",2,"Ingredient: bamboo shoot
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2367,"bamboo shoot, dried",not harmful,"Dried bamboo shoots are a good source of nutrients like fiber, vitamins, and minerals. They are low in calories and can be a healthy addition to a balanced diet.",2,"Ingredient: bamboo shoot, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2368,barley grass,not harmful,"Barley grass is a nutrient-dense ingredient that is high in vitamins, minerals, and antioxidants. It is generally considered safe and has potential health benefits, such as supporting immune function and reducing inflammation.",2,"Ingredient: barley grass
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2369,"barley grass, dried",not harmful,"Barley grass is a nutrient-dense ingredient containing vitamins, minerals, antioxidants, and chlorophyll, which can have various health benefits for individuals, including supporting digestion, immune function, and providing essential nutrients.",2,"Ingredient: barley grass, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2370,beetroot,not harmful,"Beetroots are a nutritious vegetable rich in vitamins, minerals, and antioxidants. They have been associated with various health benefits such as improved blood pressure, enhanced exercise performance, and potential anti-inflammatory properties.",2,"Ingredient: beetroot
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2371,beetroot juice,not harmful,"Beetroot juice is rich in essential nutrients like vitamins, minerals, and antioxidants which have been linked to various health benefits such as improved blood flow, lower blood pressure, and enhanced exercise performance.",2,"Ingredient: beetroot juice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2372,beetroot juice concentrate,not harmful,"Beetroot juice concentrate is derived from beets, which are high in essential nutrients like vitamins, minerals, and antioxidants. Consuming beetroot juice concentrate in moderation can have potential health benefits such as improved exercise performance, lower blood pressure, and improved digestion.",2,"Ingredient: beetroot juice concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2373,beetroot juice from concentrate,not harmful,"Beetroot juice from concentrate is a source of vitamins, minerals, and antioxidants that can provide several health benefits, such as improving exercise performance, lowering blood pressure, and supporting liver function. As long as consumed in moderation, it is not considered harmful to human health.",2,"Ingredient: beetroot juice from concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2374,"beetroot juice, dried",not harmful,"Beetroot juice, whether fresh or dried, is generally considered not harmful to human health. In fact, it is rich in essential nutrients like vitamins, minerals, and antioxidants which can have various health benefits such as supporting heart health, improving exercise performance, and lowering blood pressure.",2,"Ingredient: beetroot juice, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2375,beetroot puree,not harmful,"Beetroot puree is a healthy ingredient rich in vitamins, minerals, and antioxidants that can have beneficial effects on human health. There are no known harmful effects of consuming beetroot puree in moderate amounts.",2,"Ingredient: beetroot puree
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2376,"beetroot, dried",not harmful,"Dried beetroot is a nutritious ingredient that is rich in vitamins, minerals, and antioxidants. It can promote health by supporting immune function, reducing inflammation, and improving digestion.",2,"Ingredient: beetroot, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2377,"beetroot, roasted",not harmful,"Roasted beetroot is a healthy ingredient as it is rich in essential nutrients like fiber, vitamins, and minerals. It can be part of a balanced diet and can have various health benefits, such as improving digestion and reducing inflammation.",2,"Ingredient: beetroot, roasted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2378,bok choy,not harmful,"Bok choy is a nutritious vegetable that is low in calories and high in vitamins and minerals such as vitamin C, vitamin K, calcium, and folate. It is generally considered beneficial for human health when consumed as part of a balanced diet.",2,"Ingredient: bok choy
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2379,broccoli,not harmful,"Broccoli is a nutrient-rich vegetable high in vitamins, minerals, and fiber. It has been linked to various health benefits, such as reducing the risk of heart disease and cancer.",2,"Ingredient: broccoli
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2380,"broccoli, dried",not harmful,"Dried broccoli still retains most of its nutrients such as vitamins, minerals, and antioxidants, making it a healthy addition to one's diet. Consuming broccoli, even when dried, is not known to have any harmful effects on human health.",2,"Ingredient: broccoli, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2381,brussel sprouts,not harmful,"Brussel sprouts are nutritious vegetables that are high in vitamins, minerals, and fiber. They are low in calories and can be beneficial for overall health when consumed as part of a balanced diet.",2,"Ingredient: brussel sprouts
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2382,"brussel sprouts, roasted",not harmful,"Brussel sprouts are a nutritious vegetable high in vitamins, minerals, and fiber. Roasting them can enhance their flavor without significantly affecting their nutritional value. Consuming roasted brussel sprouts as part of a balanced diet is not considered harmful to human health.",2,"Ingredient: brussel sprouts, roasted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2383,butternut squash,not harmful,"Butternut squash is a nutrient-dense vegetable rich in vitamins, minerals, and antioxidants. It is low in calories and high in fiber, making it a healthy choice for overall health.",2,"Ingredient: butternut squash
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2384,butternut squash juice concentrate,not harmful,"Butternut squash is a nutritious vegetable high in vitamins, minerals, and antioxidants. When consumed as a juice concentrate, it can be a healthy addition to a balanced diet.",2,"Ingredient: butternut squash juice concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2385,butternut squash puree,not harmful,"Butternut squash puree is a healthy ingredient that is rich in vitamins, minerals, and fiber. It is a good source of antioxidants and can contribute to a balanced diet.",2,"Ingredient: butternut squash puree
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2386,"butternut squash, roasted",not harmful,"Butternut squash is a nutrient-dense vegetable rich in vitamins, minerals, and fiber. Roasting it can enhance its flavor and nutritional content without adding harmful components.",2,"Ingredient: butternut squash, roasted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2387,cabbage,not harmful,"Cabbage is a nutritious vegetable that is low in calories and high in vitamins C and K, as well as antioxidants and fiber. It is a commonly consumed vegetable that can be part of a healthy diet.",2,"Ingredient: cabbage
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2388,cabbage juice,not harmful,"Cabbage juice is rich in vitamins, minerals, and antioxidants that can benefit human health. It is a good source of vitamin C, vitamin K, and fiber, which can support the immune system, bone health, and digestion.",2,"Ingredient: cabbage juice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2389,cabbage juice concentrate,not harmful,"Cabbage juice concentrate is a natural and nutritious ingredient that is generally considered safe for consumption. It is rich in vitamins, minerals, and antioxidants which can have various health benefits such as boosting the immune system and aiding digestion.",2,"Ingredient: cabbage juice concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2390,"cabbage, dried",not harmful,"Dried cabbage is a source of vitamins, minerals, and fiber that can be beneficial for human health. It is typically low in calories and can be a healthy addition to a balanced diet.",2,"Ingredient: cabbage, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2391,carrot,not harmful,"Carrots are a nutritious vegetable rich in vitamins, minerals, and antioxidants that are beneficial for human health. They are low in calories and high in fiber, making them a healthy addition to a balanced diet.",2,"Ingredient: carrot
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2392,carrot juice concentrate,not harmful,"Carrot juice concentrate is derived from carrots, which are rich in nutrients like vitamins, minerals, and antioxidants. Consuming carrot juice concentrate in moderation can be a healthy addition to a balanced diet.",2,"Ingredient: carrot juice concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2393,carrot juice from concentrate,not harmful,"Carrot juice from concentrate is made by extracting water from fresh carrot juice, resulting in a product that retains most of the nutrients found in fresh carrot juice. It is a good source of vitamins and minerals and can be part of a healthy diet.",2,"Ingredient: carrot juice from concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2394,"carrot juice, dried",not harmful,"Carrot juice, dried, is a concentrated form of carrots which are high in vitamins, minerals, and antioxidants. Consuming dried carrot juice in moderation can be a nutritious addition to a balanced diet, providing health benefits such as improved vision, skin health, and immunity.",2,"Ingredient: carrot juice, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2395,carrot puree,not harmful,"Carrot puree is a healthy ingredient that is high in vitamins, minerals, and antioxidants. It can be a beneficial addition to a balanced diet and is not known to have any harmful effects on human health.",2,"Ingredient: carrot puree
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2396,carrot puree concentrate,not harmful,"Carrot puree concentrate is made from carrots, which are a healthy vegetable rich in vitamins, minerals, and antioxidants. Consuming carrot puree concentrate in moderation can be part of a balanced diet and is not considered harmful to human health.",2,"Ingredient: carrot puree concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2397,"carrot, dried",not harmful,"Dried carrots are a concentrated form of fresh carrots, retaining many of the original nutrients such as vitamins, fiber, and antioxidants. They can be a healthy addition to one's diet when consumed in moderation.",2,"Ingredient: carrot, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2398,"carrot, puffed",not harmful,"Puffed carrots are simply dehydrated carrots that have been expanded through a process of heating and rapid cooling. Carrots are nutritious and rich in vitamins and minerals, and the dehydration process maintains most of these nutrients, making puffed carrots a healthy snack option.",2,"Ingredient: carrot, puffed
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2399,"carrot, roasted",not harmful,"Roasted carrots are a healthy option as they retain most of their nutrients, including vitamins, minerals, and antioxidants. They can be part of a balanced diet and contribute positively to human health.",2,"Ingredient: carrot, roasted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2400,cassava,not harmful,"Cassava is a starchy root vegetable that is a good source of energy, vitamins, and minerals. It is a staple food for millions of people worldwide and can be a healthy part of a balanced diet when prepared and consumed properly.",2,"Ingredient: cassava
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2401,cassava flour,not harmful,"Cassava flour is a gluten-free alternative to wheat flour that can be part of a balanced diet. It provides carbohydrates and some nutrients like fiber, folate, and manganese. While cassava should be properly processed to remove toxins, the flour itself is not considered harmful to human health.",2,"Ingredient: cassava flour
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2402,cauliflower,not harmful,"Cauliflower is a nutritious vegetable that is low in calories and high in vitamins, minerals, and fiber. It is considered a healthy choice for most people when consumed as part of a balanced diet.",2,"Ingredient: cauliflower
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2403,"cauliflower, dried",not harmful,"Dried cauliflower is not harmful to human health and can be a good source of vitamins and minerals. It may lack some of the water-soluble vitamins found in fresh cauliflower, but it still retains many of its nutritional benefits.",2,"Ingredient: cauliflower, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2404,"cauliflower, roasted",not harmful,"Cauliflower is a nutritious vegetable that is low in calories and high in vitamins, minerals, and antioxidants. Roasting cauliflower can help retain its nutrients and enhance its flavor without adding harmful substances.",2,"Ingredient: cauliflower, roasted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2405,celeriac,not harmful,"Celeriac, also known as celery root, is a nutrient-dense vegetable that is a good source of fiber, vitamins, and minerals. It can be part of a healthy diet and is not known to have harmful effects on human health.",2,"Ingredient: celeriac
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2406,celery,not harmful,"Celery is a low-calorie vegetable rich in antioxidants, vitamins, and minerals. It is a healthy addition to a balanced diet and can contribute to overall good health.",2,"Ingredient: celery
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2407,celery juice,not harmful,"Celery juice is a low-calorie and nutrient-rich beverage that can be beneficial for hydration and overall health. It contains vitamins, minerals, and antioxidants that can support digestion and may have anti-inflammatory properties.",2,"Ingredient: celery juice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2408,"celery juice, cultured",not harmful,"Both celery juice and cultured ingredients are generally considered safe and can have potential health benefits, such as providing vitamins, minerals, and probiotics.",2,"Ingredient: celery juice, cultured
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2409,"celery juice, cultured, dried",not harmful,"Celery juice is a natural ingredient that is generally considered beneficial for health due to its high water content, vitamins, and minerals. Cultured and dried celery juice can still retain some of these nutritional benefits without introducing harmful elements. Therefore, it is classified as not harmful.",2,"Ingredient: celery juice, cultured, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2410,"celery juice, dried",not harmful,"Dried celery retains most of its nutrients and can provide health benefits like fiber, vitamins, and minerals. It can be a nutritious addition to a balanced diet when consumed in moderation.",2,"Ingredient: celery juice, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2411,celery puree,not harmful,"Celery puree is made from celery, which is a nutritious vegetable high in vitamins, minerals, and antioxidants. It is considered to be a healthy ingredient and does not pose any harm to human health.",2,"Ingredient: celery puree
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2412,"celery, dried",not harmful,"Dried celery is a low-calorie vegetable that is high in fiber and nutrients like vitamin K and potassium, which can have positive health effects such as improving digestion and blood pressure control. However, it is important to be cautious with the salt content sometimes added during the drying process.",2,"Ingredient: celery, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2413,chard,not harmful,"Chard is a nutrient-dense leafy green vegetable rich in vitamins, minerals, and antioxidants, which can have various health benefits when consumed as part of a balanced diet. It is not known to have harmful effects on human health.",2,"Ingredient: chard
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2414,chard juice,not harmful,"Chard juice is a healthy ingredient with various nutrients and health benefits. It is rich in vitamins, minerals, and antioxidants, making it a nutritious choice for overall health.",2,"Ingredient: chard juice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2415,chicory root,controversial,"Chicory root is generally considered safe for most people, but some individuals may experience digestive issues like gas or bloating due to its high inulin content. Additionally, chicory root may have beneficial effects on gut health by promoting the growth of beneficial bacteria. However, more research is needed to determine its full impact on human health.",0,"Ingredient: chicory root
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2416,"chicory root, dried",controversial,"Chicory root, when consumed in moderation, is generally considered safe and even beneficial due to its fiber content and potential prebiotic properties. However, excessive consumption may lead to gastrointestinal issues for some individuals, such as gas, bloating, and discomfort. Therefore, the impact on human health can be seen as controversial, depending on the individual's tolerance and intake levels.",0,"Ingredient: chicory root, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2417,"chicory root, roasted",not harmful,"Chicory root, when roasted, is commonly used as a coffee substitute and has some potential health benefits such as being a good source of fiber and prebiotics. It is generally considered safe for consumption and not known to have harmful effects on human health.",2,"Ingredient: chicory root, roasted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2418,collard greens,not harmful,"Collard greens are a nutrient-dense leafy green vegetable high in vitamins, minerals, and fiber. Consuming collard greens as part of a balanced diet is beneficial for overall health and well-being.",2,"Ingredient: collard greens
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2419,collard greens juice,not harmful,"Collard greens are rich in nutrients such as vitamins A, C, and K, as well as fiber and antioxidants, which can have numerous health benefits when consumed as part of a balanced diet. Juicing collard greens can provide a concentrated source of these nutrients, making it a healthy addition to one's diet.",2,"Ingredient: collard greens juice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2420,cucumber,not harmful,"Cucumbers are low in calories and rich in vitamins, minerals, and antioxidants. They are a healthy addition to a balanced diet and have hydrating properties due to their high water content.",2,"Ingredient: cucumber
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2421,cucumber juice,not harmful,Cucumber juice is a healthy and hydrating beverage that is low in calories and a good source of vitamins and minerals. It is not known to have any harmful effects on human health.,2,"Ingredient: cucumber juice
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2422,cucumber juice concentrate,not harmful,"Cucumber juice concentrate is a natural ingredient obtained from cucumbers, which are low in calories and high in nutrients like vitamins K and C. It is generally considered safe and can be a healthy addition to one's diet when consumed in moderation.",2,"Ingredient: cucumber juice concentrate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2423,cucumber puree,not harmful,"Cucumber puree is a healthy ingredient that is low in calories and rich in nutrients such as vitamins, minerals, and antioxidants. It is commonly consumed as part of a balanced diet and is generally considered beneficial for human health.",2,"Ingredient: cucumber puree
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2424,"cucumber, dried",not harmful,"Dried cucumber is not harmful to human health. It retains most of its nutrients and can be a healthy snack option. As with any dried fruit or vegetable, it is important to consume in moderation due to its concentrated nature.",2,"Ingredient: cucumber, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2425,daikon radish,not harmful,"Daikon radish is a low-calorie vegetable that is high in fiber, vitamin C, and other nutrients. It can promote digestive health and boost the immune system, making it a healthy addition to the diet.",2,"Ingredient: daikon radish
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2426,eggplant,not harmful,"Eggplant is a low-calorie vegetable that is a good source of fiber, vitamins, and minerals. It is a healthy component of a balanced diet and is not known to have any harmful effects on human health.",2,"Ingredient: eggplant
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
